species,emsConcentration,soakDuration,lowestTemp,highestTemp,result
Arabidopsis,0.75,1200,20.3,30.1,1
Rice,1.20,800,19.5,29.8,1
Wheat,0.45,1600,17.8,28.5,0
Maize,1.45,1000,21.2,31.4,1
Barley,0.95,1400,18.9,29.2,1
Arabidopsis,1.85,2200,23.4,33.8,0
Rice,0.55,900,20.1,30.5,1
Wheat,1.65,700,16.5,27.2,0
Maize,0.85,1500,19.8,29.7,1
Barley,1.35,1100,21.5,31.8,1
Arabidopsis,0.65,1300,18.2,28.9,1
Rice,1.75,2300,24.1,34.2,0
Wheat,0.35,800,20.8,30.7,0
Maize,1.25,1200,17.4,27.8,1
Barley,0.90,1000,19.2,29.5,1
Arabidopsis,1.55,1500,22.1,32.3,0
Rice,0.70,900,18.7,28.4,1
Wheat,1.40,1400,20.5,30.9,0
Maize,0.50,1100,19.4,29.8,1
Barley,1.15,1300,21.8,31.5,1
Arabidopsis,1.05,1100,22.2,31.2,0
Rice,1.30,700,19.0,28.5,1
Wheat,0.55,1800,17.5,27.3,0
Maize,1.75,1400,21.0,32.0,1
Barley,0.80,1200,19.0,29.1,1
Arabidopsis,1.95,2500,23.0,34.0,0
Rice,0.60,1000,20.3,29.9,1
Wheat,1.10,1300,17.0,28.0,0
