species,emsConcentration,soakDuration,lowestTemp,highestTemp,result
Arabidopsis,0.75,12.5,20.3,30.1,1
Rice,1.20,8.0,19.5,29.8,1
Wheat,0.45,16.2,17.8,28.5,0
Maize,1.45,10.5,21.2,31.4,1
Barley,0.95,14.0,18.9,29.2,1
Arabidopsis,1.85,22.5,23.4,33.8,0
Rice,0.55,9.5,20.1,30.5,1
Wheat,1.65,7.8,16.5,27.2,0
Maize,0.85,15.5,19.8,29.7,1
Barley,1.35,11.2,21.5,31.8,1
Arabidopsis,0.65,13.8,18.2,28.9,1
Rice,1.75,23.5,24.1,34.2,0
Wheat,0.35,8.8,20.8,30.7,0
Maize,1.25,12.0,17.4,27.8,1
Barley,0.90,10.8,19.2,29.5,1
Arabidopsis,1.55,15.8,22.1,32.3,0
Rice,0.70,9.2,18.7,28.4,1
Wheat,1.40,14.5,20.5,30.9,0
Maize,0.50,11.5,19.4,29.8,1
Barley,1.15,13.2,21.8,31.5,1
Arabidopsis,1.05,11.0,22.2,31.2,0
Rice,1.30,7.2,19.0,28.5,1
Wheat,0.55,18.0,17.5,27.3,0
Maize,1.75,14.2,21.0,32.0,1
Barley,0.80,12.5,19.0,29.1,1
Arabidopsis,1.95,25.0,23.0,34.0,0
Rice,0.60,10.0,20.3,29.9,1
Wheat,1.10,13.5,17.0,28.0,0
Maize,0.95,16.0,19.5,30.5,1
Barley,1.20,9.5,18.5,30.2,1
Arabidopsis,1.35,20.0,21.5,32.5,0
Rice,0.80,8.5,19.6,28.2,1
Wheat,0.65,9.0,19.0,29.0,0
Maize,1.60,13.5,18.0,31.0,1
Barley,1.45,11.0,20.5,31.0,1
Arabidopsis,1.25,17.0,22.0,32.0,0
Rice,0.90,6.5,18.4,29.5,1
Wheat,1.50,14.0,21.0,30.8,0
Maize,0.55,10.0,17.0,28.6,1
Barley,1.10,12.0,19.8,30.1,1
